ID,Name,StudyHours,Attendance,Marks,Grade,Result,Performance Score
4,Student_4,6.4,73,99.6,A,Pass,72.97999999999999
11,Student_11,1.2,86,97.5,A,Pass,74.78999999999999
18,Student_18,5.7,61,85.4,B,Pass,62.14
21,Student_21,6.5,90,87.7,B,Pass,72.14999999999999
22,Student_22,2.3,94,95.6,A,Pass,76.46
26,Student_26,8.1,59,99.5,A,Pass,69.07000000000001
27,Student_27,2.8,65,95.6,A,Pass,67.86
29,Student_29,6.3,66,90.5,A,Pass,66.31
33,Student_33,1.6,71,85.3,B,Pass,64.27
35,Student_35,9.7,63,89.6,B,Pass,65.64
36,Student_36,8.3,64,86.9,B,Pass,64.31
43,Student_43,1.3,72,96.2,A,Pass,69.96000000000001
50,Student_50,2.7,67,95.2,A,Pass,68.24000000000001
52,Student_52,8.0,88,99.5,A,Pass,77.75
53,Student_53,9.5,66,91.1,A,Pass,67.25
55,Student_55,6.4,80,95.8,A,Pass,73.18
57,Student_57,1.8,84,89.0,B,Pass,70.06
59,Student_59,1.4,94,92.7,A,Pass,74.83
60,Student_60,3.9,83,92.1,A,Pass,71.72999999999999
61,Student_61,4.5,52,88.4,B,Pass,60.7
62,Student_62,3.4,86,87.4,B,Pass,70.18
69,Student_69,1.7,64,98.5,A,Pass,68.79
71,Student_71,8.0,53,89.3,B,Pass,62.15
73,Student_73,1.0,71,91.7,A,Pass,67.35000000000001
74,Student_74,8.3,74,95.4,A,Pass,71.56
77,Student_77,7.9,82,85.9,B,Pass,69.13
86,Student_86,3.9,79,97.8,A,Pass,73.38
88,Student_88,6.7,62,97.9,A,Pass,68.89
100,Student_100,2.0,93,86.8,B,Pass,71.7
103,Student_103,3.8,79,99.7,A,Pass,74.31
106,Student_106,3.2,69,99.0,A,Pass,70.84
115,Student_115,6.7,99,99.8,A,Pass,80.94
116,Student_116,8.8,53,88.8,B,Pass,62.059999999999995
123,Student_123,3.9,64,93.2,A,Pass,66.58
128,Student_128,8.7,53,89.7,B,Pass,62.49
130,Student_130,5.6,86,86.2,B,Pass,70.02000000000001
136,Student_136,3.9,73,85.6,B,Pass,65.47999999999999
